PlotName,Plot-No,ENV,Rep,Blk,Entry,Pedigree,DA,DS,ASI,PHT,EHT,RL,SL,HCV,PASP,EASP,EPP,EAROT  ,GY,STGC
BA21364-IK'DT-1083,1083,MD,1,6,E112,TZEEIOR 396 X TZEEIOR 197,50,50,0,172,83.6,2,6,3,6,3,0.833333333,0,3462.745098,4
BA21364-IK'DT-1084,1084,MD,1,6,E43,TZEEIOR 365 X TZEEIOR 97,47,46,1,182.2,88.8,5,5,3,5,3,0.888888889,0,3513.72549,5
BA21364-IK'DT-1085,1085,MD,1,7,E22,TZEEIOR 28 X TZEEIOR  9 A,47,47,0,187.4,83.8,3,4,4,4,4,0.888888889,1.130333768,2818.344227,5
BA21364-IK'DT-1086,1086,MD,1,7,E97,TZEEIOR 209 X TZEEIOR 249,48,49,1,187.2,96.8,5,4,4,4,4,0.882352941,1.156347201,2921.568627,4
BA21364-IK'DT-1087,1087,MD,1,7,E95,TZEEIOR 41 X TZEEEIOR 249,48,49,1,198.2,99,5,4,4,4,4,0.666666667,0,2766.448802,3
BA21364-IK'DT-1088,1088,MD,1,7,E164,TZEEIOR 202 X TZEEIOR 30,48,48,0,190.4,96,1,2,2,2,2,1,0,4313.72549,3
BA21364-IK'DT-1089,1089,MD,1,7,E14,TZEEIOR 540 X TZEEIOR  9 A,46,45,1,173.6,86,5,4,4,4,4,1,1.389687134,2907.276688,6
BA21364-IK'DT-1090,1090,MD,1,7,E62,TZEEIOR 221 X TZEEIOR 97 ,50,49,1,188.8,105.8,5,5,4,5,4,0.777777778,0,2934.640523,4
BA21364-IK'DT-1091,1091,MD,1,7,E46,TZEEIOR 458 X TZEEIOR 97,50,50,0,173.2,100,3,4,3,4,3,0.333333333,0,3098.910675,4
BA21364-IK'DT-1092,1092,MD,1,7,E15,TZEEIOR 548 X TZEEIOR  9 A,50,50,0,157.4,78.8,5,5,3,5,3,0.944444444,0.83773694,2760.348584,5
BA21364-IK'DT-1093,1093,MD,1,7,E13,TZEEIOR 509 X TZEEIOR  9 A,50,49,1,156,88.8,6,5,4,5,4,0.888888889,0,2851.764706,6
BA21364-IK'DT-1094,1094,MD,1,7,E58,TZEEIOR 28 X TZEEIOR 97,53,55,2,179.8,87.2,3,6,5,6,5,0.444444444,1.414973348,1134.640523,4
BA21364-IK'DT-1095,1095,MD,1,7,E40,TZEEIOR 396 X TZEEIOR 97,52,53,1,145.4,83,4,6,5,6,5,0.611111111,1.003930294,1977.777778,4
BA21364-IK'DT-1096,1096,MD,1,7,E156,TZEEIOR 479 X TZEEIOR 30,49,48,1,153.2,69.2,3,5,4,5,4,1,0,2928.104575,5
BA21364-IK'DT-1097,1097,MD,1,7,E38,TZEEIOR 321 X TZEEIOR 97,50,50,0,151,69.6,3,5,4,5,4,0.777777778,1.184285738,2174.117647,5
BA21364-IK'DT-1098,1098,MD,1,7,E119,TZEEIOR 479 X TZEEIOR 197,48,49,1,161.2,67.2,3,4,3,4,3,0.882352941,0,3102.396514,5
BA21364-IK'DT-1099,1099,MD,1,8,E175,TZEEIOR 536 X TZEEIOR 30,50,51,1,133.4,65.4,4,6,4,6,4,0.777777778,0,1949.891068,5
BA21364-IK'DT-1100,1100,MD,1,8,E167,TZEEIOR 28 X TZEEIOR 30,54,55,1,146.4,49,3,7,6,7,6,0.277777778,1.612783857,377.3420479,4
BA21364-IK'DT-1101,1101,MD,1,8,E77,TZEEIOR 384 XTZEEIOR 249 ,50,50,0,138.8,62.6,5,6,5,6,5,0.611111111,1.451367704,1430.021786,6
BA21364-IK'DT-1102,1102,MD,1,8,E171,TZEEIOR 221 X TZEEIOR 30 ,54,56,2,135.4,62.4,1,6,5,6,5,0.555555556,0,971.6775599,6
BA21364-IK'DT-1103,1103,MD,1,8,E108,TZEEIOR 305 X TZEEIOR 249,51,51,0,148.8,65.8,3,5,4,5,4,0.666666667,0,1760.784314,5
BA21364-IK'DT-1104,1104,MD,1,8,E185,TZEEIOR 97 X TZEEIOR 197 ,54,56,2,141.8,69,3,6,5,6,5,0.666666667,1.247154615,1354.248366,6
BA21364-IK'DT-1105,1105,MD,1,8,E63,TZEEIOR 142 X TZEEIOR 97,56,58,2,128,63,4,7,5,7,5,0.294117647,0,755.5555556,6
