Isolate Code,Rep,Hours,Diameter growth
Osogbo 81 (Fusarium oxysporum),3,48,1.6
Osogbo 81 (Fusarium oxysporum),4,48,1.6
Osogbo 79 (Fusarium oxysporum),1,48,1.4
Osogbo 79 (Fusarium oxysporum),2,48,1.3
Osogbo 79 (Fusarium oxysporum),3,48,1.3
Osogbo 79 (Fusarium oxysporum),4,48,1.5
Osogbo 85 (Fusarium oxysporum),1,48,1.5
Osogbo 85 (Fusarium oxysporum),2,48,1.4
Osogbo 85 (Fusarium oxysporum),3,48,1.3
Osogbo 85 (Fusarium oxysporum),4,48,1.4
Osogbo 89 (Fusarium solani),1,48,1.4
Osogbo 89 (Fusarium solani),2,48,1.4
Osogbo 89 (Fusarium solani),3,48,1.3
Osogbo 89 (Fusarium solani),4,48,1.5
Osogbo 84 (Fusarium verticillioides),1,48,1.4
Osogbo 84 (Fusarium verticillioides),2,48,1.5
Osogbo 84 (Fusarium verticillioides),3,48,1.4
Osogbo 84 (Fusarium verticillioides),4,48,1.5
Osogbo 74 (Fusarium verticillioides),1,48,1.5
Osogbo 74 (Fusarium verticillioides),2,48,1.5
Osogbo 74 (Fusarium verticillioides),3,48,1.5
Osogbo 74 (Fusarium verticillioides),4,48,1.7
Osogbo 92 (Fusarium verticillioides),1,48,1.3
Osogbo 92 (Fusarium verticillioides),2,48,1.4
Osogbo 92 (Fusarium verticillioides),3,48,1.3
Osogbo 92 (Fusarium verticillioides),4,48,1.3
Osogbo 90 (Fusarium oxysporom),1,48,1.5
Osogbo 90 (Fusarium oxysporom),2,48,1.5
Osogbo 90 (Fusarium oxysporom),3,48,1.7
Osogbo 90 (Fusarium oxysporom),4,48,1.7
A 19 (Fusarium solani),1,48,1.8
A 19 (Fusarium solani),2,48,1.8
A 19 (Fusarium solani),3,48,1.8
A 19 (Fusarium solani),4,48,1.8
B 29 (Fusarium solani),1,48,1.8
B 29 (Fusarium solani),2,48,1.8
B 29 (Fusarium solani),3,48,1.7
B 29 (Fusarium solani),4,48,1.8
A 15 (Fusarium sporotrichioides),1,48,1.5
A 15 (Fusarium sporotrichioides),2,48,1.4
A 15 (Fusarium sporotrichioides),3,48,1.5
A 15 (Fusarium sporotrichioides),4,48,1.6
B 18 (Fusarium oxsporum),1,48,1.6
B 18 (Fusarium oxsporum),2,48,1.7
B 18 (Fusarium oxsporum),3,48,1.7
B 18 (Fusarium oxsporum),4,48,1.6
A 41 (Fusarium oxysporum),1,48,1.4
A 41 (Fusarium oxysporum),2,48,1.4
A 41 (Fusarium oxysporum),3,48,1.3
A 41 (Fusarium oxysporum),4,48,1.5
A 29 (Fusarium verticillioides),1,48,1.4
A 29 (Fusarium verticillioides),2,48,1.4
A 29 (Fusarium verticillioides),3,48,1.3
A 29 (Fusarium verticillioides),4,48,1.4
FUS-HR-NIS 52 (Fusarium oxysporum),1,48,1.7
FUS-HR-NIS 52 (Fusarium oxysporum),2,48,1.9
FUS-HR-NIS 52 (Fusarium oxysporum),3,48,1.8
FUS-HR-NIS 52 (Fusarium oxysporum),4,48,1.9
FUS-HR-NIS 38 (Fusarium solani),1,48,1.3
FUS-HR-NIS 38 (Fusarium solani),2,48,1.2
FUS-HR-NIS 38 (Fusarium solani),3,48,1.4
FUS-HR-NIS 38 (Fusarium solani),4,48,1.5
FUS-SV-NIS 26 (Fusarium sporotrichioides),1,48,1.3
FUS-SV-NIS 26 (Fusarium sporotrichioides),2,48,1.3
FUS-SV-NIS 26 (Fusarium sporotrichioides),3,48,1.4
FUS-SV-NIS 26 (Fusarium sporotrichioides),4,48,1.3
FUS-SV-NIS 90 (Fusarium solani),1,48,1.4
FUS-SV-NIS 90 (Fusarium solani),2,48,1.5
FUS-SV-NIS 90 (Fusarium solani),3,48,1.5
FUS-SV-NIS 90 (Fusarium solani),4,48,1.5
FUS-SV-NIS 96 (Fusarium oxysporum),1,48,1.3
FUS-SV-NIS 96 (Fusarium oxysporum),2,48,1.4
FUS-SV-NIS 96 (Fusarium oxysporum),3,48,1.3
FUS-SV-NIS 96 (Fusarium oxysporum),4,48,1.3
FUS-SV-NIS 84 (Fusarium sporotrichioides),1,48,1.1
FUS-SV-NIS 84 (Fusarium sporotrichioides),2,48,1.1
FUS-SV-NIS 84 (Fusarium sporotrichioides),3,48,1.2
FUS-SV-NIS 84 (Fusarium sporotrichioides),4,48,1.1
CCF 104 (Fusarium equesti),1,60,1.8
CCF 104 (Fusarium equesti),2,60,1.8
CCF 104 (Fusarium equesti),3,60,1.9
CCF 104 (Fusarium equesti),4,60,1.9
A 33 (Fusarium oxysporum),1,60,2.4
A 33 (Fusarium oxysporum),2,60,2.3
A 33 (Fusarium oxysporum),3,60,2.4
A 33 (Fusarium oxysporum),4,60,2.3
B 15 (Fusarium solani),1,60,2
B 15 (Fusarium solani),2,60,2
B 15 (Fusarium solani),3,60,2.1
B 15 (Fusarium solani),4,60,1.9
C 2 (Fusarium solani),1,60,1.8
C 2 (Fusarium solani),2,60,1.8
C 2 (Fusarium solani),3,60,1.7
C 2 (Fusarium solani),4,60,1.8
Osogbo 77 (Fusarium oxysporum),1,60,1.8
Osogbo 77 (Fusarium oxysporum),2,60,1.8
Osogbo 77 (Fusarium oxysporum),3,60,1.8
Osogbo 77 (Fusarium oxysporum),4,60,1.8
Osogbo 81 (Fusarium oxysporum),1,60,1.6
Osogbo 81 (Fusarium oxysporum),2,60,1.7
Osogbo 81 (Fusarium oxysporum),3,60,1.8
Osogbo 81 (Fusarium oxysporum),4,60,1.8
Osogbo 79 (Fusarium oxysporum),1,60,1.6
Osogbo 79 (Fusarium oxysporum),2,60,1.6
Osogbo 79 (Fusarium oxysporum),3,60,1.6
Osogbo 79 (Fusarium oxysporum),4,60,1.8
Osogbo 85 (Fusarium oxysporum),1,60,1.7
Osogbo 85 (Fusarium oxysporum),2,60,1.6
Osogbo 85 (Fusarium oxysporum),3,60,1.5
Osogbo 85 (Fusarium oxysporum),4,60,1.6
Osogbo 89 (Fusarium solani),1,60,1.6
Osogbo 89 (Fusarium solani),2,60,1.6
Osogbo 89 (Fusarium solani),3,60,1.5
Osogbo 89 (Fusarium solani),4,60,1.7
Osogbo 84 (Fusarium verticillioides),1,60,1.6
Osogbo 84 (Fusarium verticillioides),2,60,1.7
Osogbo 84 (Fusarium verticillioides),3,60,1.6
Osogbo 84 (Fusarium verticillioides),4,60,1.7
Osogbo 74 (Fusarium verticillioides),1,60,1.7
Osogbo 74 (Fusarium verticillioides),2,60,1.7
Osogbo 74 (Fusarium verticillioides),3,60,1.7
Osogbo 74 (Fusarium verticillioides),4,60,1.9
Osogbo 92 (Fusarium verticillioides),1,60,1.5
Osogbo 92 (Fusarium verticillioides),2,60,1.6
Osogbo 92 (Fusarium verticillioides),3,60,1.5
Osogbo 92 (Fusarium verticillioides),4,60,1.5
Osogbo 90 (Fusarium oxysporom),1,60,1.8
Osogbo 90 (Fusarium oxysporom),2,60,1.8
Osogbo 90 (Fusarium oxysporom),3,60,2
Osogbo 90 (Fusarium oxysporom),4,60,2
A 19 (Fusarium solani),1,60,2.1
A 19 (Fusarium solani),2,60,2.1
A 19 (Fusarium solani),3,60,2.1
A 19 (Fusarium solani),4,60,2.1
B 29 (Fusarium solani),1,60,2.1
B 29 (Fusarium solani),2,60,2.1
B 29 (Fusarium solani),3,60,2.1
B 29 (Fusarium solani),4,60,2
A 15 (Fusarium sporotrichioides),1,60,1.8
A 15 (Fusarium sporotrichioides),2,60,1.7
A 15 (Fusarium sporotrichioides),3,60,1.7
A 15 (Fusarium sporotrichioides),4,60,1.7
B 18 (Fusarium oxsporum),1,60,1.8
B 18 (Fusarium oxsporum),2,60,1.9
B 18 (Fusarium oxsporum),3,60,1.9
B 18 (Fusarium oxsporum),4,60,1.8
A 41 (Fusarium oxysporum),1,60,1.7
A 41 (Fusarium oxysporum),2,60,1.7
A 41 (Fusarium oxysporum),3,60,1.5
A 41 (Fusarium oxysporum),4,60,1.7
A 29 (Fusarium verticillioides),1,60,1.6
A 29 (Fusarium verticillioides),2,60,1.6
A 29 (Fusarium verticillioides),3,60,1.5
A 29 (Fusarium verticillioides),4,60,1.6
FUS-HR-NIS 52 (Fusarium oxysporum),1,60,2
FUS-HR-NIS 52 (Fusarium oxysporum),2,60,2
FUS-HR-NIS 52 (Fusarium oxysporum),3,60,2
FUS-HR-NIS 52 (Fusarium oxysporum),4,60,2
FUS-HR-NIS 38 (Fusarium solani),1,60,1.8
FUS-HR-NIS 38 (Fusarium solani),2,60,1.3
FUS-HR-NIS 38 (Fusarium solani),3,60,1.5
FUS-HR-NIS 38 (Fusarium solani),4,60,1.8
FUS-SV-NIS 26 (Fusarium sporotrichioides),1,60,1.7
FUS-SV-NIS 26 (Fusarium sporotrichioides),2,60,1.7
FUS-SV-NIS 26 (Fusarium sporotrichioides),3,60,1.8
FUS-SV-NIS 26 (Fusarium sporotrichioides),4,60,1.7
FUS-SV-NIS 90 (Fusarium solani),1,60,1.8
FUS-SV-NIS 90 (Fusarium solani),2,60,1.9
FUS-SV-NIS 90 (Fusarium solani),3,60,1.8
FUS-SV-NIS 90 (Fusarium solani),4,60,1.8
FUS-SV-NIS 96 (Fusarium oxysporum),1,60,1.7
FUS-SV-NIS 96 (Fusarium oxysporum),2,60,1.7
FUS-SV-NIS 96 (Fusarium oxysporum),3,60,1.6
FUS-SV-NIS 96 (Fusarium oxysporum),4,60,1.5
FUS-SV-NIS 84 (Fusarium sporotrichioides),1,60,1.4
FUS-SV-NIS 84 (Fusarium sporotrichioides),2,60,1.3
FUS-SV-NIS 84 (Fusarium sporotrichioides),3,60,1.5
FUS-SV-NIS 84 (Fusarium sporotrichioides),4,60,1.3
CCF 104 (Fusarium equesti),1,72,2.1
CCF 104 (Fusarium equesti),2,72,2.1
CCF 104 (Fusarium equesti),3,72,2.2
CCF 104 (Fusarium equesti),4,72,2.2
