"","Rep","Dry Weight Shoot 1","Dry Weight Root 1","No Of Nodules Per Plant 1","Root Length","Leaf rachis Length","Petiole Leght","Terminal Petiole Length","Terminal leaflet Length","Terminal leaflet Width","Plant Height","Leaf Chlorophyll Content"
"BGB 00933",2,17.1666666666667,1.73333333333333,8.66666666666667,14.3333333333333,10.6733333333333,7.58,3.02666666666667,9.86,7.97333333333333,169.666666666667,33.0222222222222
"BGB 00952",1.5,25,1.8,6,22.95,10.1357142857143,6.28571428571429,3.3,9.22857142857143,7.47857142857143,189.457142857143,30.2928571428571
"BGB 00975",1.5,27.9,2.55,1,11.7,11.66,8.43333333333333,2.86666666666667,9.77333333333333,7.65333333333333,126.066666666667,33.5
"BGB 01027",2,31.9666666666667,4.66666666666667,0,20.3333333333333,13.075,9.775,3.1875,10.275,7.7725,122.275,44.35
"BGB 01090",2,21.1333333333333,4.03333333333333,0,17.5,11.2533333333333,8.18666666666667,2.94,9.36666666666667,7.83333333333333,135.066666666667,35.0444444444444
"BGB 01101",1.5,8.3,0.9,0,5.6,9.73333333333333,6.68666666666667,3.2,9.19333333333333,7.15333333333333,149.133333333333,33.8555555555556
"BGB 01110",1.5,24.75,3.8,0,16.35,11.7266666666667,8.42666666666667,3.27333333333333,10.0333333333333,7.81333333333333,135.266666666667,38.5888888888889
"BGB 01139",2,16.9,2.56666666666667,0.333333333333333,15.7,10.671974522293,7.79235668789809,2.86942675159236,8.81369426751592,7.20700636942675,143.184076433121,34.3052016985138
"BGB 01147",2,27.5,2.33333333333333,21.3333333333333,13,9.66,6.46,3.14,8.89333333333333,7.33333333333333,182.8,35.0333333333333
"BGB 01155",2,15.8,1.46666666666667,0,7.63333333333333,10.7,7.7,2.83333333333333,9.16666666666667,7.18,61.6,31.9666666666667
"BGB 01156",1.5,11.2,1.85,0,13.05,10.4133333333333,7.23333333333333,3,9.94666666666667,7.74666666666667,151.2,30.8444444444444
"BGB 01194",2,16,3.5,0.666666666666667,14.4,11.1666666666667,7.86,3.07333333333333,9.7,7.82666666666667,124.8,35.8444444444444
"BGB 01210",2,20.7,2.1,0.666666666666667,10.8666666666667,11.1272727272727,7.85151515151515,3.16666666666667,9.87818181818182,7.86060606060606,137.142424242424,39.8893939393939
"BGB 01228",2,24.2333333333333,1.73333333333333,0,8.23333333333333,10.2,7.5,2.7,7.9,5.63333333333333,119.6,37.8333333333333
"BGB 01242",2,22.3333333333333,2.6,0.333333333333333,14.9,11.7666666666667,8.41333333333333,3.12666666666667,10.5266666666667,7.8,151.866666666667,32.8666666666667
"BGB 01253",1.5,23.3,2.7,0,7.8,13.3015384615385,10.4615384615385,2.76307692307692,10.4538461538462,7.06923076923077,73.6461538461539,37.7410256410256
"BGB 01256",1.5,16.2,1.85,0,9.2,12.32,8.68666666666667,3.12,11.1933333333333,8.17333333333333,140.4,35.4333333333333
"BGB 01266",2,38.6,2.5,1.5,17.25,11.4333333333333,8.03333333333333,3.23333333333333,10.1466666666667,7.42,102.4,33.6222222222222
"BGB 01299",2,13.3,2.43333333333333,2.33333333333333,8.26666666666667,10.4357142857143,7.29285714285714,3.25,9.63571428571429,7.45,147.2,36.9904761904762
"BGB 01325",2,26.2533333333333,2.53333333333333,9,12.0666666666667,13.3,9.8875,3.5125,8.93,7.62,117.975,39.65
"BGB 01354",2,27.0666666666667,2.83333333333333,1,9,11.3666666666667,8.33333333333333,3,9.45333333333333,7.68666666666667,153.8,42.1111111111111
"BGB 01362",1.5,20.7,2.05,0.5,9.7,10.9984848484848,7.77272727272727,3.08636363636364,9.32575757575758,7.78787878787879,125.378787878788,33.4116161616162
"BGB 01373",1.5,21.25,3.35,1,15.6,12.4,8.66666666666667,3.8,10.1733333333333,8.24,187.4,38.1777777777778
"BGB 01383",2,26.9,2.3,2,12.0666666666667,10.74,7.61333333333333,3.04,9.75333333333333,8.12666666666667,199,35.6333333333333
"BGB 01392",2,13.1,1.3,12.3333333333333,12.3333333333333,9.74,6.42666666666667,3.13333333333333,9.6,12.3066666666667,185.8,32.0777777777778
"BGB 01407",2,28.2,4.46666666666667,2,15.4666666666667,10.5071428571429,7.32142857142857,3.19285714285714,10.1642857142857,7.35714285714286,152.414285714286,32.5952380952381
