Treatment,TY,EM,LA,LLWR,NCMPH,NLPP,NST,PH,PL,PS,LC,LO,LMC,LM,LMVC,LVP,PCU,PCL,PJC,PJP,CS,CSS,CFC,CBC
TR0671,0.62,64.67,437.86,0.85,28.33,14.33,5,70.24,55.87,38.89,3,1,4,1,4,4,5,5,2,0,1,4,2,2
TR0672,0.92,111.67,974.44,0.79,55.33,33.33,13,87.74,69.87,48.89,3,1,4,1,4,4,5,5,2,0,1,4,2,2
TR0680,1.22,51.67,0,0.97,63.33,2.33,0,1.74,1.37,7.89,3,5,4,1,4,4,5,5,2,1,1,4,2,2
TR0712,0.92,0,194.57,0.88,22.83,9.33,1,32.49,25.54,34.89,3,1,4,2,1,4,5,5,2,0,1,3,2,1
TR0673,0.72,110.67,957.07,0.76,42.33,24.33,8,92.74,70.87,50.89,3,1,4,1,4,4,5,5,2,0,1,4,2,2
TR0681,2.72,41.67,1163.27,0.92,95.33,28.33,12,80.74,60.87,68.89,3,5,4,1,4,4,5,5,2,1,1,4,2,2
TR0705,0.17,115.67,362.16,0.84,30.33,21.33,7,50.74,39.87,50.89,3,1,4,1,4,4,5,5,2,0,1,4,2,2
TR0738,1.12,28.92,388.98,0.95,24.83,25.33,2,49.99,39.84,58.89,4,3,7,1,4,4,8,5,4,1,1,4,2,4
TR0674,1.12,86.67,32.9,1.08,38.33,37.33,0,24.74,14.87,15.39,4,2,4,1,4,4,5,5,2,0,1,3,2,2
TR0706,0.22,52.67,102.77,0.87,14.33,8.33,2,34.74,25.87,35.89,3,1,7,1,4,4,8,5,4,1,1,3,2,4
TR0845,0,47.17,93.02,1.2,3.83,2.83,0,15.55,12.4,18.03,4,5,7,2,4,3,5,5,2,2,1,4,2,1
TR0815,0.8,45.17,873.24,1,38.83,18.83,6.83,67.55,52.4,74.03,4,5,7,2,4,3,5,5,2,2,1,4,2,1
TR0089,0.5,28.67,201.52,1.21,9.33,18.33,5.33,33.24,28.47,40.98,4,1,7,2,4,3,8,5,4,1,2,3,6,4
TR0019,2.27,51.17,334.6,0.93,43,15,2.33,44.42,36.75,54.67,4,2,7,1,8,4,8,8,2,1,1,4,2,4
TR0035,0.91,29.42,394.96,0.91,5.83,0,0,55.78,45.58,55.72,4,1,7,2,4,4,8,5,4,1,1,3,2,2
TR0167,0.88,25.17,632.34,1.15,20.83,34.83,7.83,60.94,46.81,74.72,4,5,7,2,4,3,8,8,2,1,1,4,2,1
TR0112,0.53,45.17,498.52,0.98,17.83,13.83,3.83,44.38,35.57,45.2,4,5,7,2,8,4,8,8,2,2,1,4,2,1
TR0120,1.12,37.17,674.47,1.06,25.83,15.83,7.83,72.09,59.06,70.37,4,1,4,2,4,4,5,5,2,2,1,4,2,1
TR0113,0.87,52.67,258.09,1.33,11.33,33.33,8.33,38.51,32.3,50.75,3,3,7,1,8,4,8,8,2,1,1,4,2,1
TR0145,0.77,52.67,606.39,1.09,31.33,24.33,8.33,58.01,45.8,51.25,4,1,4,2,4,3,5,5,2,2,1,4,2,1
TR0153,1.3,35.17,610.1,1.04,36.83,24.83,8.83,63.47,50.31,63.22,4,1,4,2,4,3,5,5,2,2,1,4,2,1
TR0098,1.35,44.67,1005.67,1.19,28.33,33.33,10.33,72.31,59.1,86.65,4,5,7,1,8,4,8,8,4,1,1,4,2,1
TR0154,0.63,27.17,412.64,1.17,18.83,10.83,4.83,49.67,43.04,48.98,4,1,4,2,4,4,5,5,2,2,1,4,2,1
TR0131,0.7,42.17,584.57,1.08,21.83,13.83,5.83,56.05,44.4,65.03,4,1,4,2,4,4,5,5,2,2,1,4,2,1
TR0132,0.89,56.67,658.67,1.12,23.33,16.33,6.33,56.91,45.08,69.21,4,1,7,2,4,3,5,5,2,2,1,4,2,1
TR0117,0.83,35.17,339.44,1.18,17.83,17.83,8.83,49.19,38.31,59.22,4,5,7,2,4,3,8,8,2,1,1,4,2,1
TR0118,0.6,50.67,484.59,1.26,18.33,25.33,6.33,46.18,32.97,60.92,4,1,7,2,8,3,8,8,2,1,1,4,2,1
TR0663,1.61,39.42,606.88,0.98,35.83,23.33,6,58.78,48.58,76.22,4,1,7,2,4,4,5,5,4,1,1,3,2,1
TR0665,1.51,23.42,541.46,0.92,20.83,16.33,5,59.78,48.58,62.22,3,5,7,2,4,4,5,5,4,1,1,3,2,1
