ENV,GEN,REP,D50F,WT100SE
IB2017,TVu12802,1,.,.
IB2017,TVu12802,2,79,.
IB2017,TVu12802,3,57,12.01
IB2017,TVu12804,1,66,
IB2017,TVu12804,2,,.
IB2017,TVu12804,3,,.
IB2017,TVu12873,1,66,7
IB2017,TVu12873,2,58,6
IB2017,TVu12873,3,49,8.7
IB2017,TVu12897,1,56,6
IB2017,TVu12897,2,52,8.1
IB2017,TVu12897,3,49,8.2
IB2017,TVu12923,1,66,10.1
IB2017,TVu12923,2,60,9.23
IB2017,TVu12923,3,65,9.5
IB2017,TVu12937,1,59,13.1
IB2017,TVu12937,2,59,12.8
IB2017,TVu12937,3,46,12.8
IB2017,TVu12968,1,64,11
IB2017,TVu12968,2,61,10
IB2017,TVu12968,3,57,12
IB2017,TVu13017,1,59,16
IB2017,TVu13017,2,62,16.2
IB2017,TVu13017,3,78,16.1
IB2017,TVu13035,1,59,16
IB2017,TVu13035,2,50,15.2
IB2017,TVu13035,3,57,14.8
IB2017,TVu132,1,53,10
IB2017,TVu132,2,50,5.9
IB2017,TVu132,3,56,6.1
IB2017,TVu13271,1,52,20.6
IB2017,TVu13271,2,51,18.7
IB2017,TVu13271,3,53,21.4
IB2017,TVu1330,1,53,11.5
IB2017,TVu1330,2,47,12.1
IB2017,TVu1330,3,42,11.8
IB2017,TVu13305,1,59,15.6
IB2017,TVu13305,2,52,16
IB2017,TVu13305,3,57,14.5
IB2017,TVu13334,1,59,21.5
IB2017,TVu13334,2,71,26
IB2017,TVu13334,3,63,20.7
IB2017,TVu13388,1,59,12.1
IB2017,TVu13388,2,71,11.5
IB2017,TVu13388,3,55,11.2
IB2017,TVu13437,1,52,14
IB2017,TVu13437,2,57,18
IB2017,TVu13437,3,52,11.9
IB2017,TVu13463,1,59,16
IB2017,TVu13463,2,56,16
IB2017,TVu13463,3,59,14
IB2017,TVu13485,1,49,10.1
IB2017,TVu13485,2,49,9.4
IB2017,TVu13485,3,46,10.6
IB2017,TVu13778,1,59,14
IB2017,TVu13778,2,56,14.7
IB2017,TVu13778,3,57,13.5
IB2017,TVu13850,1,63,18
IB2017,TVu13850,2,77,15.9
IB2017,TVu13850,3,57,16.1
IB2017,TVu13859,1,75,15
IB2017,TVu13859,2,.,7
IB2017,TVu13859,3,57,14
IB2017,TVu13939,1,44,10
IB2017,TVu13939,2,46,10.1
IB2017,TVu13939,3,44,10
IB2017,TVu13950,1,64,13
IB2017,TVu13950,2,50,12
IB2017,TVu13950,3,65,14
IB2017,TVu13958,1,65,12
IB2017,TVu13958,2,57,11.8
IB2017,TVu13958,3,47,10.7
IB2017,TVu13965,1,81,17
IB2017,TVu13965,2,72,16.1
IB2017,TVu13965,3,49,16.3
IB2017,TVu13968,1,64,13.6
IB2017,TVu13968,2,48,12.6
IB2017,TVu13968,3,60,13.5
IB2017,TVu13979,1,81,20.5
IB2017,TVu13979,2,52,19.8
IB2017,TVu13979,3,67,20.3
IB2017,TVu14172,1,63,14
IB2017,TVu14172,2,72,13.8
IB2017,TVu14172,3,69,12.2
IB2017,TVu14173,1,56,17
IB2017,TVu14173,2,60,16.9
IB2017,TVu14173,3,52,17.6
IB2017,TVu14190,1,52,15
IB2017,TVu14190,2,57,14.5
IB2017,TVu14190,3,58,17.7
IB2017,TVu14195,1,70,19
IB2017,TVu14195,2,73,18.6
IB2017,TVu14195,3,75,14.7
IB2017,TVu14224,1,46,13.9
IB2017,TVu14224,2,43,14.1
IB2017,TVu14224,3,45,13.2
IB2017,TVu14248,1,64,8.1
IB2017,TVu14248,2,53,8.6
