ENV,GEN,REP,D50F,WT100SE
IB2017,TVu5444,3,49,18.4
IB2017,TVu5466,1,81,12.5
IB2017,TVu5466,2,84,14.3
IB2017,TVu5466,3,79,
IB2017,TVu5473,1,81,12.1
IB2017,TVu5473,2,72,12.4
IB2017,TVu5473,3,65,11.7
IB2017,TVu5495,1,59,14.5
IB2017,TVu5495,2,58,13.5
IB2017,TVu5495,3,56,12.7
IB2017,TVu5498,1,59,15.8
IB2017,TVu5498,2,54,13.2
IB2017,TVu5498,3,56,15.2
IB2017,TVu5500,1,59,14
IB2017,TVu5500,2,51,13.5
IB2017,TVu5500,3,53,13.1
IB2017,TVu5609,1,59,10.5
IB2017,TVu5609,2,57,11
IB2017,TVu5609,3,54,10.7
IB2017,TVu5649,1,81,14.5
IB2017,TVu5649,2,79,14.7
IB2017,TVu5649,3,73,14.3
IB2017,TVu5721,1,59,16
IB2017,TVu5721,2,71,14.2
IB2017,TVu5721,3,52,17.6
IB2017,TVu578,1,53,14.5
IB2017,TVu578,2,63,15
IB2017,TVu578,3,61,15.5
IB2017,TVu5828,1,81,16
IB2017,TVu5828,2,71,15.5
IB2017,TVu5828,3,64,15.9
IB2017,TVu5874,1,63,16
IB2017,TVu5874,2,55,15.1
IB2017,TVu5874,3,63,15.4
IB2017,TVu5957,1,54,14.5
IB2017,TVu5957,2,60,15
IB2017,TVu5957,3,62,14.7
IB2017,TVu6356,1,78,
IB2017,TVu6356,2,58,7.8
IB2017,TVu6356,3,65,10.5
IB2017,TVu6365,1,,
IB2017,TVu6365,2,,
IB2017,TVu6365,3,,11.6
IB2017,TVu6439,1,59,15.5
IB2017,TVu6439,2,54,15.7
IB2017,TVu6439,3,55,15.8
IB2017,TVu6464,1,46,14
IB2017,TVu6464,2,56,12.9
IB2017,TVu6464,3,49,13
IB2017,TVu6477,1,59,14
IB2017,TVu6477,2,60,13.9
IB2017,TVu6477,3,57,10.2
IB2017,TVu6493,1,55,12.5
IB2017,TVu6493,2,53,14.2
IB2017,TVu6493,3,55,13.2
IB2017,TVu6641,1,81,10
IB2017,TVu6641,2,49,5.1
IB2017,TVu6641,3,56,6.3
IB2017,TVu6642,1,59,11
IB2017,TVu6642,2,52,13.2
IB2017,TVu6642,3,60,12.2
IB2017,TVu6643,1,59,20
IB2017,TVu6643,2,60,18.6
IB2017,TVu6643,3,51,18.9
IB2017,TVu6644,1,63,10
IB2017,TVu6644,2,78,10.3
IB2017,TVu6644,3,58,10.2
IB2017,TVu6663,1,56,14.5
IB2017,TVu6663,2,56,14.8
IB2017,TVu6663,3,64,
IB2017,TVu6744,1,57,10
IB2017,TVu6744,2,,
IB2017,TVu6744,3,64,11.1
IB2017,TVu6782,1,44,8
IB2017,TVu6782,2,54,6.8
IB2017,TVu6782,3,46,6
IB2017,TVu6824,1,81,
IB2017,TVu6824,2,70,.
IB2017,TVu6824,3,,
IB2017,TVu6837,1,43,6
IB2017,TVu6837,2,46,8
IB2017,TVu6837,3,52,7.2
IB2017,TVu6855,1,59,10.5
IB2017,TVu6855,2,52,11.8
IB2017,TVu6855,3,44,12.2
IB2017,TVu6858,1,80,6.1
IB2017,TVu6858,2,57,4.5
IB2017,TVu6858,3,62,4.4
IB2017,TVu6947,1,53,14.3
IB2017,TVu6947,2,57,14.5
IB2017,TVu6947,3,53,14.2
IB2017,TVu6959,1,59,18
IB2017,TVu6959,2,54,18.3
IB2017,TVu6959,3,51,18.1
IB2017,TVu6966,1,49,18.5
IB2017,TVu6966,2,59,17.8
IB2017,TVu6966,3,49,18
IB2017,TVu6968,1,59,10
IB2017,TVu6968,2,50,10.4
IB2017,TVu6968,3,54,12.1
IB2017,TVu6994,1,,
IB2017,TVu6994,2,51,10.1
IB2017,TVu6994,3,55,8.7
IB2017,TVu7127,1,,
IB2017,TVu7127,2,,
IB2017,TVu7127,3,,
IB2017,TVu7155,1,81,12
IB2017,TVu7155,2,72,12.8
IB2017,TVu7155,3,78,13.1
IB2017,TVu7290,1,63,12.4
IB2017,TVu7290,2,62,12.1
IB2017,TVu7290,3,55,9.8
IB2017,TVu7325,1,59,12.5
IB2017,TVu7325,2,62,12.3
IB2017,TVu7325,3,51,10.7
IB2017,TVu7362,1,81,18.4
IB2017,TVu7362,2,71,15.8
IB2017,TVu7362,3,70,18.5
IB2017,TVu7382,1,78,13.5
IB2017,TVu7382,2,70,12.2
IB2017,TVu7382,3,84,12.1
IB2017,TVu7559,1,53,18.3
IB2017,TVu7559,2,56,13.8
IB2017,TVu7559,3,54,14.5
IB2017,TVu7614,1,59,8
IB2017,TVu7614,2,51,7.9
IB2017,TVu7614,3,56,10.1
IB2017,TVu7625,1,60,14.5
IB2017,TVu7625,2,52,12.3
IB2017,TVu7625,3,60,13.4
IB2017,TVu7642,1,59,14.5
IB2017,TVu7642,2,54,15
IB2017,TVu7642,3,65,15.3
IB2017,TVu7647,1,81,8
IB2017,TVu7647,2,76,8.8
IB2017,TVu7647,3,77,8.6
IB2017,TVu7684,1,59,16.5
IB2017,TVu7684,2,67,16.1
IB2017,TVu7684,3,65,17.2
IB2017,TVu7719,1,53,11
IB2017,TVu7719,2,71,10.1
IB2017,TVu7719,3,53,
IB2017,TVu7739,1,59,14.3
IB2017,TVu7739,2,52,13.9
IB2017,TVu7739,3,54,14.6
IB2017,TVu7755,1,59,10.4
IB2017,TVu7755,2,48,10.2
IB2017,TVu7755,3,57,
IB2017,TVu7798,1,53,20
IB2017,TVu7798,2,50,22.1
IB2017,TVu7798,3,49,21.2
IB2017,TVu7971,1,59,10
IB2017,TVu7971,2,65,9.8
IB2017,TVu7971,3,54,10
IB2017,TVu7991,1,56,15.5
IB2017,TVu7991,2,51,16.1
IB2017,TVu7991,3,54,16.2
IB2017,TVu8,1,44,11.8
IB2017,TVu8,2,44,10.8
IB2017,TVu8,3,56,10.3
IB2017,TVu8059,1,81,10.2
IB2017,TVu8059,2,64,13
IB2017,TVu8059,3,94,
IB2017,TVu8072,1,65,11
IB2017,TVu8072,2,74,12.3
IB2017,TVu8072,3,61,10.8
IB2017,TVu8082,1,49,11
IB2017,TVu8082,2,58,11.3
IB2017,TVu8082,3,51,9.3
IB2017,TVu8123,1,56,14
IB2017,TVu8123,2,78,15.1
IB2017,TVu8123,3,68,14.2
IB2017,TVu8262,1,53,15
IB2017,TVu8262,2,45,12.7
IB2017,TVu8262,3,50,
IB2017,TVu8389,1,53,21
IB2017,TVu8389,2,63,21.8
IB2017,TVu8389,3,50,20.7
IB2017,TVu84,1,58,12.1
IB2017,TVu84,2,49,10.2
IB2017,TVu84,3,52,11.7
IB2017,TVu8464,1,59,14
IB2017,TVu8464,2,52,13.8
IB2017,TVu8464,3,55,12.6
IB2017,TVu8516,1,52,14.2
IB2017,TVu8516,2,47,12.9
IB2017,TVu8516,3,51,13.9
IB2017,TVu8612,1,72,10.4
IB2017,TVu8612,2,70,10.3
IB2017,TVu8612,3,58,11.5
IB2017,TVu8622,1,95,14.5
IB2017,TVu8622,2,73,13.5
IB2017,TVu8622,3,79,14.1
IB2017,TVu8631,1,72,12.4
IB2017,TVu8631,2,49,13.1
IB2017,TVu8631,3,50,14.2
IB2017,TVu8641,1,81,18.1
IB2017,TVu8641,2,79,20
IB2017,TVu8641,3,64,18.9
IB2017,TVu8656,1,59,10
IB2017,TVu8656,2,52,10
IB2017,TVu8656,3,74,11.4
IB2017,TVu8671,1,44,10
IB2017,TVu8671,2,47,7.8
IB2017,TVu8671,3,44,10.1
IB2017,TVu8673,1,56,12.9
IB2017,TVu8673,2,57,13.9
IB2017,TVu8673,3,52,11.9
IB2017,TVu870,1,48,22
IB2017,TVu870,2,51,21.5
IB2017,TVu870,3,56,20.2
IB2017,TVu8702,1,56,11.4
IB2017,TVu8702,2,57,11.6
IB2017,TVu8702,3,54,11.4
IB2017,TVu8713,1,56,10.2
IB2017,TVu8713,2,49,8.2
IB2017,TVu8713,3,66,10.9
IB2017,TVu8775,1,81,14.1
IB2017,TVu8775,2,71,14
IB2017,TVu8775,3,56,12.7
IB2017,TVu8779,1,53,10.5
IB2017,TVu8779,2,52,10.3
IB2017,TVu8779,3,50,11
IB2017,TVu8812,1,56,18.5
IB2017,TVu8812,2,57,14.9
IB2017,TVu8812,3,53,15.5
IB2017,TVu8834,1,63,10.1
IB2017,TVu8834,2,63,9.8
IB2017,TVu8834,3,58,8.4
IB2017,TVu8838,1,56,8.5
IB2017,TVu8838,2,59,6.2
IB2017,TVu8838,3,51,9.6
IB2017,TVu8877,1,52,10.5
IB2017,TVu8877,2,52,11.4
IB2017,TVu8877,3,52,10.8
IB2017,TVu8883,1,65,12
IB2017,TVu8883,2,52,13.5
IB2017,TVu8883,3,49,.
IB2017,TVu889,1,81,16
IB2017,TVu889,2,70,14.2
IB2017,TVu889,3,59,12
IB2017,TVu8923,1,81,18.5
IB2017,TVu8923,2,66,18.2
IB2017,TVu8923,3,74,16.9
IB2017,TVu8934,1,81,20.4
IB2017,TVu8934,2,.,21.6
IB2017,TVu8934,3,.,.
IB2017,TVu9031,1,58,18.5
IB2017,TVu9031,2,56,17.4
IB2017,TVu9031,3,51,17.4
IB2017,TVu9073,1,.,.
IB2017,TVu9073,2,.,.
IB2017,TVu9073,3,.,.
IB2017,TVu9095,1,79,18
IB2017,TVu9095,2,72,17.4
IB2017,TVu9095,3,60,.
IB2017,TVu9151,1,,
IB2017,TVu9151,2,61,9.8
IB2017,TVu9151,3,,
IB2017,TVu9220,1,78,16.5
IB2017,TVu9220,2,60,15.7
IB2017,TVu9220,3,66,16.2
IB2017,TVu9228,1,63,12
IB2017,TVu9228,2,50,12.3
IB2017,TVu9228,3,55,17.9
IB2017,TVu9234,1,81,7.6
IB2017,TVu9234,2,60,6
IB2017,TVu9234,3,55,5.5
IB2017,TVu9237,1,78,18
IB2017,TVu9237,2,65,18.1
IB2017,TVu9237,3,51,15.9
IB2017,TVu9256,1,81,12.5
IB2017,TVu9256,2,54,11.8
IB2017,TVu9256,3,61,12.1
IB2017,TVu9257,1,88,12.3
IB2017,TVu9257,2,66,15.13
IB2017,TVu9257,3,56,18.14
IB2017,TVu9259,1,65,.
IB2017,TVu9259,2,46,13.2
IB2017,TVu9259,3,51,12.5
IB2017,TVu9265,1,77,.
IB2017,TVu9265,2,50,10.1
IB2017,TVu9265,3,56,9.6
IB2017,TVu9357,1,59,13.1
IB2017,TVu9357,2,56,11.6
IB2017,TVu9357,3,51,12.4
IB2017,TVu9391,1,81,6
IB2017,TVu9391,2,63,6
IB2017,TVu9391,3,55,6.5
IB2017,TVu9393,1,59,5
IB2017,TVu9393,2,51,6.5
IB2017,TVu9393,3,56,6
IB2017,TVu945,1,63,14
IB2017,TVu945,2,67,14.2
IB2017,TVu945,3,64,14.9
IB2017,TVu946,1,60,19
IB2017,TVu946,2,63,19.3
IB2017,TVu946,3,50,20.5
IB2017,TVu9468,1,60,.
IB2017,TVu9468,2,63,11.8
IB2017,TVu9468,3,63,12.1
IB2017,TVu9469,1,81,12.5
IB2017,TVu9469,2,74,12.3
IB2017,TVu9469,3,54,10.2
IB2017,TVu9474,1,.,.
IB2017,TVu9474,2,.,.
IB2017,TVu9474,3,.,.
IB2017,TVu9486,1,59,12
IB2017,TVu9486,2,52,9.7
IB2017,TVu9486,3,64,10.8
IB2017,TVu9492,1,.,.
IB2017,TVu9492,2,65,16.1
IB2017,TVu9492,3,70,14.2
IB2017,TVu9506,1,63,12.6
IB2017,TVu9506,2,54,10
IB2017,TVu9506,3,66,12.5
IB2017,TVu9508,1,63,14.1
IB2017,TVu9508,2,61,13.7
IB2017,TVu9508,3,66,12.3
IB2017,TVu9516,1,64,15.5
IB2017,TVu9516,2,63,13.6
IB2017,TVu9516,3,63,15.6
IB2017,TVu9522,1,59,10
IB2017,TVu9522,2,60,11.7
IB2017,TVu9522,3,53,9.4
IB2017,TVu9556,1,81,10
IB2017,TVu9556,2,60,10.8
IB2017,TVu9556,3,72,10.2
IB2017,TVu9557,1,59,14.5
IB2017,TVu9557,2,58,12.2
IB2017,TVu9557,3,50,10.5
IB2017,TVu9651,1,66,18.5
IB2017,TVu9651,2,51,18.3
IB2017,TVu9651,3,51,17.2
IB2017,TVu9676,1,63,10.5
IB2017,TVu9676,2,52,10.1
IB2017,TVu9676,3,65,.
IB2017,TVu969,1,70,10
IB2017,TVu969,2,66,11.1
IB2017,TVu969,3,68,9
IB2017,TVu972,1,57,8
IB2017,TVu972,2,46,9.9
IB2017,TVu972,3,46,7.8
IB2017,TVu9749,1,65,14.5
IB2017,TVu9749,2,97,13.8
IB2017,TVu9749,3,66,13.2
IB2017,TVu9761,1,52,15
IB2017,TVu9761,2,52,10.1
IB2017,TVu9761,3,54,.
IB2017,TVu9801,1,52,12
IB2017,TVu9801,2,56,11.8
IB2017,TVu9801,3,57,11.8
IB2017,TVu9820,1,53,12
IB2017,TVu9820,2,53,13.5
IB2017,TVu9820,3,.,.
IB2017,TVu9848,1,52,14.5
IB2017,TVu9848,2,53,15
IB2017,TVu9848,3,54,12.5
IB2017,TVu9866,1,63,10
IB2017,TVu9866,2,51,10.3
IB2017,TVu9866,3,56,10.2
IB2018,IT-99-573-1-1,1,43,
IB2018,IT-99-573-1-1,2,45,15.6
IB2018,IT-99-573-1-1,3,41,17.1
IB2018,TVu1000,1,56,
IB2018,TVu1000,2,46,9.5
IB2018,TVu1000,3,42,10.2
IB2018,TVu10005,1,,
IB2018,TVu10005,2,,
IB2018,TVu10005,3,,
IB2018,TVu1004,1,42,
IB2018,TVu1004,2,40,14.7
IB2018,TVu1004,3,41,12
IB2018,TVu10100,1,49,6.4
IB2018,TVu10100,2,45,6.6
IB2018,TVu10100,3,44,8
IB2018,TVu1016,1,56,10.3
IB2018,TVu1016,2,43,9.7
IB2018,TVu1016,3,44,10
IB2018,TVu10179,1,36,12.2
IB2018,TVu10179,2,36,10.2
IB2018,TVu10179,3,40,11.5
IB2018,TVu10281,1,49,
IB2018,TVu10281,2,43,13.3
IB2018,TVu10281,3,40,
IB2018,TVu1036,1,42,10.2
IB2018,TVu1036,2,42,8.9
IB2018,TVu1036,3,39,12
IB2018,TVu10362,1,39,12.4
IB2018,TVu10362,2,39,9.9
IB2018,TVu10362,3,39,13.2
IB2018,TVu10366,1,44,12.7
IB2018,TVu10366,2,43,13.2
IB2018,TVu10366,3,43,14
IB2018,TVu1037,1,40,8.2
IB2018,TVu1037,2,37,9
IB2018,TVu1037,3,40,10.6
IB2018,TVu10394,1,65,22.2
IB2018,TVu10394,2,,11.2
IB2018,TVu10394,3,42,12.9
IB2018,TVu10408,1,57,6.1
IB2018,TVu10408,2,41,4.7
IB2018,TVu10408,3,43,4.8
IB2018,TVu10466,1,52,
IB2018,TVu10466,2,44,9.8
IB2018,TVu10466,3,43,8.7
IB2018,TVu10513,1,42,6.6
IB2018,TVu10513,2,38,10.6
IB2018,TVu10513,3,41,8.2
IB2018,TVu10545,1,42,12.7
IB2018,TVu10545,2,44,12
IB2018,TVu10545,3,42,13.1
IB2018,TVu10559,1,38,12
IB2018,TVu10559,2,44,10.5
IB2018,TVu10559,3,38,13.4
IB2018,TVu1059,1,40,13.5
IB2018,TVu1059,2,39,14.7
IB2018,TVu1059,3,37,15.9
IB2018,TVu10687,1,53,12.6
IB2018,TVu10687,2,45,12.9
IB2018,TVu10687,3,43,12
IB2018,TVu10754,1,44,
IB2018,TVu10754,2,50,15.6
IB2018,TVu10754,3,47,18.6
IB2018,TVu10835,1,40,
IB2018,TVu10835,2,42,14.8
IB2018,TVu10835,3,38,14
IB2018,TVu10892,1,47,7.4
IB2018,TVu10892,2,53,8.6
IB2018,TVu10892,3,42,9.7
IB2018,TVu109,1,41,10.5
IB2018,TVu109,2,41,9.5
IB2018,TVu109,3,39,9
IB2018,TVu10910,1,49,
IB2018,TVu10910,2,44,10.8
IB2018,TVu10910,3,56,
IB2018,TVu10918,1,47,15.4
IB2018,TVu10918,2,48,16.4
IB2018,TVu10918,3,59,
IB2018,TVu10952,1,47,12
IB2018,TVu10952,2,42,12.1
IB2018,TVu10952,3,45,11.1
IB2018,TVu10973,1,42,15.6
IB2018,TVu10973,2,40,14.3
IB2018,TVu10973,3,42,16
IB2018,TVu1124,1,47,
IB2018,TVu1124,2,,15.1
IB2018,TVu1124,3,41,18
IB2018,TVu113,1,47,
IB2018,TVu113,2,44,9.6
IB2018,TVu113,3,42,12
IB2018,TVu11610,1,39,14.2
IB2018,TVu11610,2,40,12.5
IB2018,TVu11610,3,38,13.9
IB2018,TVu11971,1,52,
IB2018,TVu11971,2,46,9.8
IB2018,TVu11971,3,51,
IB2018,TVu12432,1,53,
IB2018,TVu12432,2,,15.9
IB2018,TVu12432,3,42,19.6
IB2018,TVu12526,1,,
IB2018,TVu12526,2,43,14.2
IB2018,TVu12526,3,43,20.6
IB2018,TVu12565,1,49,8.8
IB2018,TVu12565,2,43,7.4
IB2018,TVu12565,3,38,10
IB2018,TVu12710,1,40,
IB2018,TVu12710,2,41,6.6
IB2018,TVu12710,3,37,7.7
IB2018,TVu12746,1,47,
IB2018,TVu12746,2,45,10.6
IB2018,TVu12746,3,44,13.4
IB2018,TVu1280,1,39,
IB2018,TVu1280,2,43,12.1
IB2018,TVu1280,3,40,12.9
IB2018,TVu12802,1,40,7.3
IB2018,TVu12802,2,36,7.2
IB2018,TVu12802,3,38,
IB2018,TVu12804,1,40,
IB2018,TVu12804,2,40,
IB2018,TVu12804,3,40,
IB2018,TVu12873,1,43,
IB2018,TVu12873,2,43,7.1
IB2018,TVu12873,3,37,8
IB2018,TVu12897,1,47,
IB2018,TVu12897,2,40,8.2
IB2018,TVu12897,3,,
IB2018,TVu12923,1,44,
IB2018,TVu12923,2,37,
IB2018,TVu12923,3,40,7.2
IB2018,TVu12937,1,40,8.6
IB2018,TVu12937,2,39,10.6
IB2018,TVu12937,3,39,9.4
IB2018,TVu12968,1,40,
IB2018,TVu12968,2,40,9.6
IB2018,TVu12968,3,37,10.2
IB2018,TVu13017,1,41,.
IB2018,TVu13017,2,43,5.2
IB2018,TVu13017,3,43,
IB2018,TVu13035,1,40,28.5
IB2018,TVu13035,2,41,15.9
IB2018,TVu13035,3,,
IB2018,TVu132,1,49,
IB2018,TVu132,2,48,6.2
IB2018,TVu132,3,44,5.8
IB2018,TVu13271,1,40,20.5
IB2018,TVu13271,2,40,
IB2018,TVu13271,3,41,23.9
IB2018,TVu1330,1,38,
IB2018,TVu1330,2,39,11.9
IB2018,TVu1330,3,34,10.1
IB2018,TVu13305,1,40,11.1
IB2018,TVu13305,2,40,9.4
IB2018,TVu13305,3,38,
IB2018,TVu13334,1,41,.
IB2018,TVu13334,2,40,13.7
IB2018,TVu13334,3,41,16.2
IB2018,TVu13388,1,40,
IB2018,TVu13388,2,46,8.9
IB2018,TVu13388,3,41,9.5
IB2018,TVu13437,1,49,14.5
IB2018,TVu13437,2,40,11.2
IB2018,TVu13437,3,44,12.4
IB2018,TVu13463,1,40,
IB2018,TVu13463,2,40,12.7
IB2018,TVu13463,3,40,14.4
IB2018,TVu13485,1,49,
IB2018,TVu13485,2,39,7.6
IB2018,TVu13485,3,39,8.5
IB2018,TVu13778,1,49,
IB2018,TVu13778,2,46,9.8
IB2018,TVu13778,3,44,12.6
IB2018,TVu13850,1,49,
IB2018,TVu13850,2,41,12.3
IB2018,TVu13850,3,43,16
IB2018,TVu13859,1,,
IB2018,TVu13859,2,,
IB2018,TVu13859,3,,
IB2018,TVu13939,1,35,
IB2018,TVu13939,2,35,7.4
IB2018,TVu13939,3,41,
IB2018,TVu13950,1,40,
IB2018,TVu13950,2,41,10.3
IB2018,TVu13950,3,39,10
IB2018,TVu13958,1,36,
IB2018,TVu13958,2,35,10
IB2018,TVu13958,3,41,9.1
IB2018,TVu13965,1,36,
IB2018,TVu13965,2,39,11.5
IB2018,TVu13965,3,34,
IB2018,TVu13968,1,40,.
IB2018,TVu13968,2,47,
IB2018,TVu13968,3,,
IB2018,TVu13979,1,40,
IB2018,TVu13979,2,40,13.9
IB2018,TVu13979,3,58,
IB2018,TVu14172,1,47,7.6
IB2018,TVu14172,2,46,11.6
IB2018,TVu14172,3,43,11.3
IB2018,TVu14173,1,42,
IB2018,TVu14173,2,42,16.1
IB2018,TVu14173,3,43,9.7
IB2018,TVu14190,1,42,
IB2018,TVu14190,2,42,9.4
IB2018,TVu14190,3,39,13.9
IB2018,TVu14195,1,47,12.2
IB2018,TVu14195,2,,10.5
IB2018,TVu14195,3,44,10
IB2018,TVu14224,1,35,
IB2018,TVu14224,2,34,10
IB2018,TVu14224,3,37,12
IB2018,TVu14248,1,40,
IB2018,TVu14248,2,41,8.4
IB2018,TVu14248,3,42,7.7
IB2018,TVu14253,1,36,
IB2018,TVu14253,2,34,11.5
IB2018,TVu14253,3,38,10.7
IB2018,TVu14272,1,49,
IB2018,TVu14272,2,40,
IB2018,TVu14272,3,38,15.1
IB2018,TVu14290,1,47,
IB2018,TVu14290,2,44,12
IB2018,TVu14290,3,40,
IB2018,TVu14321,1,42,12.3
IB2018,TVu14321,2,42,
IB2018,TVu14321,3,38,11.2
IB2018,TVu14336,1,40,13.1
IB2018,TVu14336,2,41,16.4
IB2018,TVu14336,3,42,16
IB2018,TVu14345,1,49,
IB2018,TVu14345,2,42,7.8
IB2018,TVu14345,3,48,9.8
IB2018,TVu14346,1,42,9.3
IB2018,TVu14346,2,,6.2
IB2018,TVu14346,3,44,
IB2018,TVu14393,1,42,
IB2018,TVu14393,2,37,10.6
IB2018,TVu14393,3,38,
IB2018,TVu14401,1,34,
IB2018,TVu14401,2,39,11.1
IB2018,TVu14401,3,33,
IB2018,TVu14406,1,40,12.5
IB2018,TVu14406,2,37,12.2
IB2018,TVu14406,3,40,12.7
IB2018,TVu14533,1,41,13.3
IB2018,TVu14533,2,40,16.7
IB2018,TVu14533,3,43,17.3
IB2018,TVu14539,1,39,
IB2018,TVu14539,2,44,7.2
IB2018,TVu14539,3,41,8.7
IB2018,TVu14558,1,40,
IB2018,TVu14558,2,36,8.2
IB2018,TVu14558,3,37,12
IB2018,TVu14621,1,40,
IB2018,TVu14621,2,40,9.1
IB2018,TVu14621,3,40,8.2
IB2018,TVu14632,1,43,7.1
IB2018,TVu14632,2,40,9.6
IB2018,TVu14632,3,44,6
IB2018,TVu14633,1,45,
IB2018,TVu14633,2,40,8.1
IB2018,TVu14633,3,39,7.1
IB2018,TVu14635,1,42,14.9
IB2018,TVu14635,2,,
IB2018,TVu14635,3,41,14
IB2018,TVu14683,1,43,9.5
IB2018,TVu14683,2,41,9.7
IB2018,TVu14683,3,42,10.5
IB2018,TVu14691,1,42,8.3
IB2018,TVu14691,2,42,9.3
IB2018,TVu14691,3,39,7.9
IB2018,TVu14759,1,47,
IB2018,TVu14759,2,39,12.9
IB2018,TVu14759,3,37,15.4
IB2018,TVu1477,1,47,12.7
IB2018,TVu1477,2,51,12
IB2018,TVu1477,3,44,15
IB2018,TVu14788,1,44,
IB2018,TVu14788,2,43,12
IB2018,TVu14788,3,44,9.9
IB2018,TVu14856,1,44,
IB2018,TVu14856,2,,13.6
IB2018,TVu14856,3,42,13.6
IB2018,TVu14862,1,43,11.3
IB2018,TVu14862,2,39,11.7
IB2018,TVu14862,3,44,11.9
IB2018,TVu14875,1,47,
IB2018,TVu14875,2,41,9.2
IB2018,TVu14875,3,38,10
IB2018,TVu14890,1,40,11.6
IB2018,TVu14890,2,42,9.9
IB2018,TVu14890,3,42,9.7
IB2018,TVu14949,1,40,
IB2018,TVu14949,2,37,13.6
IB2018,TVu14949,3,38,14.4
IB2018,TVu14970,1,47,12.9
IB2018,TVu14970,2,42,8.7
IB2018,TVu14970,3,42,11.8
IB2018,TVu14971,1,49,
IB2018,TVu14971,2,39,12.2
IB2018,TVu14971,3,40,12.6
IB2018,TVu14992,1,41,
IB2018,TVu14992,2,35,7.5
IB2018,TVu14992,3,41,14
IB2018,TVu15037,1,47,11.4
IB2018,TVu15037,2,43,9.3
IB2018,TVu15037,3,42,12
IB2018,TVu15053,1,45,
IB2018,TVu15053,2,48,7.6
IB2018,TVu15053,3,42,9.8
IB2018,TVu15112,1,40,8.8
IB2018,TVu15112,2,39,
IB2018,TVu15112,3,53,14.2
IB2018,TVu15114,1,43,
IB2018,TVu15114,2,43,9.2
IB2018,TVu15114,3,41,
IB2018,TVu15143,1,44,10.1
IB2018,TVu15143,2,38,10.1
IB2018,TVu15143,3,44,12
IB2018,TVu15251,1,43,18
IB2018,TVu15251,2,37,17.6
IB2018,TVu15251,3,40,18.3
IB2018,TVu15299,1,41,11.6
IB2018,TVu15299,2,,10.9
IB2018,TVu15299,3,39,13.1
IB2018,TVu15315,1,41,10.4
IB2018,TVu15315,2,40,7.9
IB2018,TVu15315,3,41,6
IB2018,TVu1536,1,47,
IB2018,TVu1536,2,44,11.7
IB2018,TVu1536,3,41,
IB2018,TVu15391,1,42,
IB2018,TVu15391,2,40,11
IB2018,TVu15391,3,41,11.9
IB2018,TVu15400,1,44,
IB2018,TVu15400,2,40,
IB2018,TVu15400,3,39,9.3
IB2018,TVu15411,1,47,8.5
IB2018,TVu15411,2,38,
IB2018,TVu15411,3,59,
IB2018,TVu15426,1,47,
IB2018,TVu15426,2,,
IB2018,TVu15426,3,38,
IB2018,TVu15445,1,47,9
IB2018,TVu15445,2,38,7.9
IB2018,TVu15445,3,39,7.9
IB2018,TVu15450,1,,16.5
IB2018,TVu15450,2,42,12.6
IB2018,TVu15450,3,41,14.2
IB2018,TVu15468,1,46,
IB2018,TVu15468,2,48,11.9
IB2018,TVu15468,3,41,10.1
IB2018,TVu15487,1,47,
IB2018,TVu15487,2,42,13
IB2018,TVu15487,3,43,16.1
IB2018,TVu15500,1,41,
IB2018,TVu15500,2,40,11
IB2018,TVu15500,3,47,
IB2018,TVu1556,1,49,9
IB2018,TVu1556,2,46,8.6
IB2018,TVu1556,3,49,8
IB2018,TVu15591,1,42,
IB2018,TVu15591,2,41,18.3
IB2018,TVu15591,3,41,17.3
IB2018,TVu15610,1,42,12.2
IB2018,TVu15610,2,39,13.6
IB2018,TVu15610,3,40,
IB2018,TVu15636,1,40,11.3
IB2018,TVu15636,2,39,10.9
IB2018,TVu15636,3,42,14
IB2018,TVu15639,1,40,
IB2018,TVu15639,2,43,15.5
IB2018,TVu15639,3,39,11.6
IB2018,TVu15653,1,40,13.2
IB2018,TVu15653,2,40,12.4
IB2018,TVu15653,3,41,15.2
IB2018,TVu15661,1,40,
IB2018,TVu15661,2,39,14.3
IB2018,TVu15661,3,45,16
IB2018,TVu15687,1,41,12.2
IB2018,TVu15687,2,40,12.9
IB2018,TVu15687,3,38,12.7
IB2018,TVu15694,1,47,
IB2018,TVu15694,2,40,10.5
IB2018,TVu15694,3,41,12.1
IB2018,TVu15742,1,42,13.2
IB2018,TVu15742,2,42,9.2
IB2018,TVu15742,3,39,10
IB2018,TVu15775,1,40,
IB2018,TVu15775,2,37,12.8
IB2018,TVu15775,3,,
IB2018,TVu1583,1,38,
IB2018,TVu1583,2,40,8.9
IB2018,TVu1583,3,39,9.8
IB2018,TVu15860,1,47,
IB2018,TVu15860,2,40,9.5
IB2018,TVu15860,3,41,7.9
IB2018,TVu15861,1,40,
IB2018,TVu15861,2,44,6.5
IB2018,TVu15861,3,,
IB2018,TVu15878,1,40,
IB2018,TVu15878,2,44,9.9
IB2018,TVu15878,3,42,9.2
IB2018,TVu15913,1,55,9.8
IB2018,TVu15913,2,52,7.4
IB2018,TVu15913,3,37,10
IB2018,TVu15926,1,42,
IB2018,TVu15926,2,48,5.5
IB2018,TVu15926,3,44,6
IB2018,TVu15945,1,49,
IB2018,TVu15945,2,,5
IB2018,TVu15945,3,51,8.9
IB2018,TVu15973,1,41,
IB2018,TVu15973,2,48,9.5
