Designation,Geno,Location,PLOT_NO,BLK,REP_NO,D50F,FE,BP,RuEs,RtNd,LdS,SHS,PH,M95D,PHvt,MC,HSW,NPY,GY
TGx2029-31F,G19,IITA_Ibadan,1,1,1,48,1,1,1,4,1,1,90,114,30,8.5,14.1,893.8,2234.5
TGx 2029-21F,G15,IITA_Ibadan,2,1,1,51,1,1,1,2,1,1,93,115,57,8.4,12.1,845.8,2114.5
Maksoy-4N,G44,IITA_Ibadan,3,1,1,48,1,1,1,2,2,2,101,109,14,9.1,18.5,590.9,1477.25
(TGx1830-20E/UG5)-#F6-2014-27-6,G33,IITA_Ibadan,4,1,1,48,1,1,1,2.5,2,1,66,109,60,9.1,16.4,1349.1,3372.75
TGx2029-27F,G39,IITA_Ibadan,5,1,1,48,1,1,1,2.5,1,1,83,115,67,8.8,12.9,882.9,2207.25
TGx1987-62FxH7-1-1-4-3-2-E,G13,IITA_Ibadan,6,2,1,53,1,1,1,2.5,1.5,1,69,109,26,8.7,10.2,950.2,2375.5
(TGx1740-2F/MW1)-#F6-2002-10-19,G30,IITA_Ibadan,7,2,1,51,1,1,1,2.5,1,1,58,109,50,9.2,18.7,785,1962.5
(TGx1987-10F/TGx1740-2F)-#F5-1011-8,G41,IITA_Ibadan,8,2,1,51,1,1,1,3,1,3,63,109,42,13.9,12.3,1082.9,2707.25
TGx 2029-39F,G26,IITA_Ibadan,9,2,1,51,1,1,1,3,1,1,84,109,50,9.8,12.4,1036.2,2590.5
TGx_2015-2E,G3,IITA_Ibadan,10,2,1,48,1,1,1,3,1,1,45,114,35,8.8,14.3,1021.4,2553.5
Panaroma-3,G16,IITA_Ibadan,11,3,1,51,1.5,1,1,4,1,1,78,114,44,16.1,9.1,741.4,1853.5
TGx1987-9FxTGx1835-10E-1-2-2-1-1,G7,IITA_Ibadan,12,3,1,51,1,1,1,3,1,1,65,114,82,17.3,8.4,885.1,2212.75
TGx_1951-4F,G1,IITA_Ibadan,13,3,1,53,1,1,1,3.5,3,1,89,114,60,8.9,13.7,1305.3,3263.25
TGx1989-45FxTGx1835-10E-3-2-1-3-3-E,G11,IITA_Ibadan,14,3,1,48,1,1,1,2,3,1,96,109,50,9.1,12.3,1370.2,3425.4
(TGx1740-2F/MW1)-#F6-2002-10-11,G37,IITA_Ibadan,15,3,1,53,1,1,2,3,1.5,1,72,109,66,9.5,14.4,905.4,2263.5
TGx1989-19FxTGx1987-10F-5-3-1-2-2-I,G10,IITA_Ibadan,16,4,1,48,1,1,1,3,2,1,82,109,60,9.9,12.2,1329.4,3323.5
(TGx1740-2F/MW1)-#F6-2002-10-15,G29,IITA_Ibadan,17,4,1,48,1,1,1,3,3,1,63,109,55,9.5,19.5,1259.3,3148.25
TGx 2029-22F,G34,IITA_Ibadan,18,4,1,51,1,1,1,4,1,1,72,114,37,9.6,15.6,896.7,2241.75
(TGx1987-10F/TGx1740-2F)-#F5-1011-6,G40,IITA_Ibadan,19,4,1,51,1,1,1,3.5,1,1,58,114,59,8.7,16,731.6,1829
Panaroma-1,G18,IITA_Ibadan,20,4,1,51,1,1,1,2,1,1,71,114,26,8.7,16.2,666.2,1665.5
TGx1961-1FxH10-2-3-7-2-1,G5,IITA_Ibadan,21,5,1,53,1,1,1,4,1,1,82,114,58,8.3,17.1,638.7,1596.75
TGx1961-1FxTGx1835-10E-1-1-4-2-1-E,G6,IITA_Ibadan,22,5,1,53,1,1,1,3,2,1,91,109,48,9.4,13.2,1104.5,2761.25
(TGx1830-20E/UG5)-#F6-2014-27-5,G32,IITA_Ibadan,23,5,1,53,1,1,1,2,2,1,65,109,58,9.2,13.2,1150.8,2877
TGx 2029-53F,G22,IITA_Ibadan,24,5,1,58,1,1,1,2,1,1,89,115,100,8.3,12.2,776.5,1941.25
TGx1987-11FxH7-3-1-1-1-2-3-I,G8,IITA_Ibadan,25,5,1,51,1,1.5,1,1,3,1,79,114,60,8.9,12.5,1224.5,3061.25
SONGDA,G25,IITA_Ibadan,26,6,1,51,1,1,1,1,1,1,102,115,15,9.2,15.1,1265.2,3163
PANORAMA-27D,G21,IITA_Ibadan,27,6,1,51,1,1,1,1,1,1,60,115,59,8.9,12.2,544.6,1361.5
(TGx1987-62F/MW1)-#F5-1006-22,G43,IITA_Ibadan,28,6,1,51,1,1,1,2.5,1.5,1,90,115,93,8.5,18,903.9,2259.75
TGx 2029-20F,G38,IITA_Ibadan,29,6,1,51,1,1,1,2,1,1,89,115,20,8.5,14.5,360.7,901.75
(TGx1740-2F/MW1)-#F6-2002-10-21,G45,IITA_Ibadan,30,6,1,53,1,1,1,3,2,1,71,114,40,8.4,18.6,869.3,2173.25
TGx_2022-3E,G12,IITA_Ibadan,31,7,1,53,1,1,1,3,2,1,66,114,39,8.9,17.4,1217.9,3044.75
(TGx1987-9F/TGx1740-2F)-#F5-1025-1,G28,IITA_Ibadan,32,7,1,51,1,1,1,3,1,1,75,115,53,8.6,11.1,476,1190
TGX1951-3F,G27,IITA_Ibadan,33,7,1,51,1,1,1,3,2,1,93,114,48,12.5,12.5,967.1,2417.75
TGx 1989-19F,G36,IITA_Ibadan,34,7,1,51,1,1,1,2,1,1,62,114,30,9.2,18.4,1033.3,2583.25
TGx 2029-7F,G17,IITA_Ibadan,35,7,1,51,1,1,1,2,1,1,100,115,61,7.6,14.1,1017.9,2544.75
(TGx1740-2F/MW1)-#F6-2002-10-28,G31,IITA_Ibadan,36,8,1,51,1,1,1,2,1,1,70,109,56,9.6,15.4,1235.4,3088.5
TGx2029-49F,G20,IITA_Ibadan,37,8,1,51,1,1,1,2,1,1,101,114,41,9.2,15.2,988.6,2471.5
TGx1987-11FxH7-3-1-1-1-2-6-I,G9,IITA_Ibadan,38,8,1,51,1,1,1,4,2,1,80,115,40,8.5,15.1,1048.7,2621.75
TGx 1448-2E,G35,IITA_Ibadan,39,8,1,51,1.5,1,1,3,2,1,60,115,31,8.9,13,522.2,1305.5
(TGx1987-62F/MW1)-#F5-1006-15,G42,IITA_Ibadan,40,8,1,56,1.5,1,1,4,3,1,79,115,93,8.7,15.7,927.3,2318.25
TGx1989-11FxTGx1987-10F-1-1-3-1-3-I,G4,IITA_Ibadan,41,9,1,46,1,1,1,3,2,1,84,114,55,8.9,12.3,866.3,2165.75
SC-SIGNA,G24,IITA_Ibadan,42,9,1,53,1,1,1,3,1,1,87,114,94,9,15.5,1674.8,4187
TGx1990-38FxTGx1835-10E-1-4-3-1-1-E,G14,IITA_Ibadan,43,9,1,51,1,1,1,3,2,1,87,109,35,9.2,15.6,808.3,2020.75
TGx_1993-18FN,G2,IITA_Ibadan,44,9,1,45,1,1,1,2,2,1,46,114,54,8.7,14.6,1878.5,4696.25
TGx 2014-16FM,G23,IITA_Ibadan,45,9,1,51,1,1,1,2,2,1,81,114,40,9.2,19.2,139,347.5
(TGx1740-2F/MW1)-#F6-2002-10-28,G31,IITA_Ibadan,46,1,2,51,1,1,1,3,2,1,60,109,46,9.4,15.5,1083,2707.5
TGx1990-38FxTGx1835-10E-1-4-3-1-1-E,G14,IITA_Ibadan,47,1,2,51,1,1,1,2,2,1,72,114,93,8.8,13.7,1328.7,3321.75
(TGx1987-62F/MW1)-#F5-1006-15,G42,IITA_Ibadan,48,1,2,51,1,1,1,2.5,3,1,65,114,50,8.6,18.5,1030.3,2575.75
(TGx1830-20E/UG5)-#F6-2014-27-5,G32,IITA_Ibadan,49,1,2,47,1,1,1,2,1,1,63,114,63,8.7,13,944.2,2360.5
TGx2029-31F,G19,IITA_Ibadan,50,1,2,51,1,1,1,3,1,1,99,114,63,8.7,13.8,930.3,2325.75
TGx 2029-20F,G38,IITA_Ibadan,51,2,2,51,1,1,1,3,1,1,88,109,20,8.9,17.1,973.4,2433.5
TGx1987-9FxTGx1835-10E-1-2-2-1-1,G7,IITA_Ibadan,52,2,2,51,1,1,1,3,1,1,62,109,61,9.1,14.9,1128.2,2820.5
(TGx1987-10F/TGx1740-2F)-#F5-1011-8,G41,IITA_Ibadan,53,2,2,51,1,1,1,2,1,1,66,114,35,8.4,14.3,991.8,2479.5
TGx 2029-53F,G22,IITA_Ibadan,54,2,2,53,1,1,1,2.5,1,1,77,114,20,8.6,13.4,823.7,2059.25
TGx1961-1FxTGx1835-10E-1-1-4-2-1-E,G6,IITA_Ibadan,55,2,2,58,1,1,1,3,3,1,90,114,45,8.9,15.9,1412.9,3532.25
(TGx1987-9F/TGx1740-2F)-#F5-1025-1,G28,IITA_Ibadan,56,3,2,53,1,1,1,2.5,2,1,70,115,60,9.5,12.9,598.1,1495.25
TGx 2029-21F,G15,IITA_Ibadan,57,3,2,47,1,1,1,2,2,1,81,115,51,8.3,14.8,673.8,1684.5
TGx2029-49F,G20,IITA_Ibadan,58,3,2,51,1,1,1,2,1,1,92,114,43,8.9,16.8,1385.6,3464
(TGx1740-2F/MW1)-#F6-2002-10-15,G29,IITA_Ibadan,59,3,2,47,1,1,1,2,2,1,79,114,61,8.5,18.9,791.2,1978
TGx 1448-2E,G35,IITA_Ibadan,60,3,2,53,1,1,1,2.5,2,1,61,115,24,8.3,14.5,948.8,2372
TGx1987-62FxH7-1-1-4-3-2-E,G13,IITA_Ibadan,61,4,2,58,1,1,1,4,4,1,80,109,57,8.85,10.35,973.6,2434
TGx1987-11FxH7-3-1-1-1-2-3-I,G8,IITA_Ibadan,62,4,2,51,1,1,1,3,2,1,72,115,40,8.7,12.9,1012.2,2530.5
TGx_1951-4F,G1,IITA_Ibadan,63,4,2,51,1,1,1,3,3,1,85,114,53,8.6,188.5,1699.7,4249.25
TGx 1989-19F,G36,IITA_Ibadan,64,4,2,51,2,1,1,3,3,1,72,114,37,9,19.4,1198,2995
TGx_2015-2E,G3,IITA_Ibadan,65,4,2,47,1,1,1,2.5,2,1,62,114,50,9.3,14.8,1505.6,3764
TGx2029-27F,G39,IITA_Ibadan,66,5,2,47,1,1,1,3.5,1,1,92,114,25,8.6,14.4,775,1937.5
Panaroma-3,G16,IITA_Ibadan,67,5,2,51,1,1,1,3,2,1,98,115,56,8.1,14.9,610.1,1525.25
TGx1961-1FxH10-2-3-7-2-1,G5,IITA_Ibadan,68,5,2,51,1,1,1,2.5,2,1,96,109,43,10.2,15.4,1100.5,2751.25
SONGDA,G25,IITA_Ibadan,69,5,2,58,1,1,1,2.5,1,1,100,115,63,8.8,18.1,568.1,1420.25
TGx_2022-3E,G12,IITA_Ibadan,70,5,2,46,1,1,1,3.5,3,1,85,115,42,9,14.6,753,1882.5
SC-SIGNA,G24,IITA_Ibadan,71,6,2,47,1,1,1,4,1,1,88,114,37,8.6,18.6,1405.6,3514
TGx 2029-39F,G26,IITA_Ibadan,72,6,2,46,1,1,1,2.5,1,1,74,114,42,8.7,13.2,1146,2865
(TGx1740-2F/MW1)-#F6-2002-10-11,G37,IITA_Ibadan,73,6,2,51,1,1,1,2,4,1,70,109,60,9.4,16.8,937.1,2342.75
PANORAMA-27D,G21,IITA_Ibadan,74,6,2,51,1.5,1,1,3,3,1,66,115,45,8.9,12,834.8,2087
(TGx1740-2F/MW1)-#F6-2002-10-21,G45,IITA_Ibadan,75,6,2,53,1,1,1,3,2.5,1,64,114,65,8,19.9,1307.8,3269.5
TGx1989-19FxTGx1987-10F-5-3-1-2-2-I,G10,IITA_Ibadan,76,7,2,46,1,1,1,2.5,3,1,60,114,64,8.1,12.5,1748.7,4371.75
TGx 2014-16FM,G23,IITA_Ibadan,77,7,2,47,1,1,1,2,4,1,85,114,40,8.4,8.4,1493.3,3733.25
(TGx1740-2F/MW1)-#F6-2002-10-19,G30,IITA_Ibadan,78,7,2,53,1,1,1,3,4,1,88,109,43,9.3,18,1057.05,2642.6
TGx1989-11FxTGx1987-10F-1-1-3-1-3-I,G4,IITA_Ibadan,79,7,2,51,1,1,1,3,2,1,74,114,80,8.1,12.7,1391.4,3478.5
(TGx1987-62F/MW1)-#F5-1006-22,G43,IITA_Ibadan,80,7,2,47,1,1,1,3.5,3,1,70,109,40,8.9,15.5,942.9,2357.25
TGx_1993-18FN,G2,IITA_Ibadan,81,8,2,51,1,1,1,3,3,1,66,114,50,8.4,15.3,1812,4530
TGx1987-11FxH7-3-1-1-1-2-6-I,G9,IITA_Ibadan,82,8,2,47,1,1,1,2,2,1,64,115,45,10,13.9,1268.6,3171.5
(TGx1830-20E/UG5)-#F6-2014-27-6,G33,IITA_Ibadan,83,8,2,47,1,1,1,2,3,1,60,109,60,9.4,16.55,1598.5,3996.25
TGx 2029-22F,G34,IITA_Ibadan,84,8,2,47,1,1,1,3.5,1.5,1,85,114,60,8.6,16,1443.8,3609.5
TGx 2029-7F,G17,IITA_Ibadan,85,8,2,51,1,1,1,2,1,1,59,114,30,8.3,15.9,1363,3407.5
TGX1951-3F,G27,IITA_Ibadan,86,9,2,51,1,1,1,3,2,1,90,114,65,7.8,13.4,1400.4,3501
TGx1989-45FxTGx1835-10E-3-2-1-3-3-E,G11,IITA_Ibadan,87,9,2,51,1,1,1,4,2,1,76,109,68,10,14.3,1582,3955
Panaroma-1,G18,IITA_Ibadan,88,9,2,52,1,1,1,3,1,1,60,115,46,9.2,17.8,1748.3,4370.75
Maksoy-4N,G44,IITA_Ibadan,89,9,2,51,1,1,1,2.5,3,1,59,111,20.5,13.5,18.2,845.3,2113.25
(TGx1987-10F/TGx1740-2F)-#F5-1011-6,G40,IITA_Ibadan,90,9,2,51,1,1,1,3,1,1,79,115,84,8.7,17.3,895.6,2239
(TGx1987-62F/MW1)-#F5-1006-15,G42,IITA_Ibadan,91,1,3,52,1,1,1,3.5,1,1,86,109,26,9.2,18.5,1052.6,2631.5
TGx 2029-39F,G26,IITA_Ibadan,92,1,3,51,1,1,1,3,1,1,86,115,93,7.6,11.2,936.2,2340.5
TGx1989-45FxTGx1835-10E-3-2-1-3-3-E,G11,IITA_Ibadan,93,1,3,47,1,1,1,2.5,1,1,116,109,50,9.9,13.3,1158.3,2895.75
(TGx1740-2F/MW1)-#F6-2002-10-11,G37,IITA_Ibadan,94,1,3,51,1,1,1,1.5,1.5,1,89,109,36,9.4,14.9,1206.3,3015.75
(TGx1740-2F/MW1)-#F6-2002-10-21,G45,IITA_Ibadan,95,1,3,47,1,1,1,2,2,1,90,114,47,8,19.4,1281.1,3202.75
PANORAMA-27D,G21,IITA_Ibadan,96,2,3,47,1,1,1,2.5,3,1,84,115,47,8.8,16.2,1535.3,3838.25
TGx 2029-7F,G17,IITA_Ibadan,97,2,3,47,1,1,1,2,1,1,126,114,39,8.2,14.8,1354.5,3386.25
TGx2029-31F,G19,IITA_Ibadan,98,2,3,53,1,1,1,2,3,1,60,114,26,8.1,14.8,982.5,2456.25
TGx1987-11FxH7-3-1-1-1-2-3-I,G8,IITA_Ibadan,99,2,3,52,1,1,1,3,2,1,58,114,43,8.4,16.2,1661.5,4153.75
(TGx1987-9F/TGx1740-2F)-#F5-1025-1,G28,IITA_Ibadan,100,2,3,51,1,1,1,3.5,2,1,80,115,30,10.2,14,906.6,2266.5
TGx1987-11FxH7-3-1-1-1-2-6-I,G9,IITA_Ibadan,101,3,3,53,1,1,1,3,3,1,77,114,52,8.6,12.9,1096.6,2741.5
TGx1961-1FxH10-2-3-7-2-1,G5,IITA_Ibadan,102,3,3,58,1,1,1,3,3,1,56,114,97,8.6,18.8,1014.2,2535.5
TGx_2022-3E,G12,IITA_Ibadan,103,3,3,53,1,1,1,2,1,1,67,115,41,7.8,13,527.7,1319.25
(TGx1987-10F/TGx1740-2F)-#F5-1011-8,G41,IITA_Ibadan,104,3,3,53,1,1,1,2.5,2,1,62,115,40,7.9,14.5,825.7,2064.25
TGx2029-49F,G20,IITA_Ibadan,105,3,3,51,1,1,1,2,1,1,87,114,40,8.3,16.7,1117.4,2793.5
(TGx1740-2F/MW1)-#F6-2002-10-19,G30,IITA_Ibadan,106,4,3,47,1,1,1,3,2,1,90,109,36,9.4,17.3,1329.1,3322.75
TGx 2029-22F,G34,IITA_Ibadan,107,4,3,46,1,1,1,3,1,1,54,114,35,8.7,16.8,1177,2942.5
TGx 2029-53F,G22,IITA_Ibadan,108,4,3,53,1,1,1,2.5,1,1,63,114,50,8.4,13.5,992.4,2481
TGx1987-62FxH7-1-1-4-3-2-E,G13,IITA_Ibadan,109,4,3,52,1,1,1,1.5,2,1,61,109,54,9,10.5,997,2492.5
(TGx1830-20E/UG5)-#F6-2014-27-5,G32,IITA_Ibadan,110,4,3,51,1,1,1,1.5,3,1,74,109,30,9,14.9,824.3,2060.75
TGx_1993-18FN,G2,IITA_Ibadan,111,5,3,51,1,1,1,3,1,1,72,114,35,8.3,15.2,889.4,2223.5
Maksoy-4N,G44,IITA_Ibadan,112,5,3,47,1,1,1,3.5,3,1,58,114,27,17.9,17.9,1099.7,2749.25
TGx_2015-2E,G3,IITA_Ibadan,113,5,3,51,1,1,1,3,2,1,87,114,30,7.9,14.8,739.8,1849.5
TGx 2029-20F,G38,IITA_Ibadan,114,5,3,51,1,1,1,2.5,2,1,79,114,20,8,17.4,1449,3622.5
TGx1961-1FxTGx1835-10E-1-1-4-2-1-E,G6,IITA_Ibadan,115,5,3,51,1,1,1,2,2,1,64,114,43,8.3,17.6,1146.4,2866
TGx 1989-19F,G36,IITA_Ibadan,116,6,3,47,1,1,1,2,1,1,59,114,37,8.1,16.2,795.3,1988.25
TGx 2014-16FM,G23,IITA_Ibadan,117,6,3,51,1,1,1,1.5,2,1,62,114,25,8.6,19,119.2,298
SONGDA,G25,IITA_Ibadan,118,6,3,51,1,1,1,1.5,1,1,70,115,37,8.6,18.9,879.9,2199.75
(TGx1987-62F/MW1)-#F5-1006-22,G43,IITA_Ibadan,119,6,3,51,1,1,1,3,2,1,76,114,35,8,15.6,294.4,736
TGx 2029-21F,G15,IITA_Ibadan,120,6,3,51,1,1,1,2.5,1,1,86,115,26,9,11.2,294.4,736
TGx1990-38FxTGx1835-10E-1-4-3-1-1-E,G14,IITA_Ibadan,121,7,3,51,1,1,1,3,2,2,71,109,25,9.2,17.8,696.4,1741
TGx_1951-4F,G1,IITA_Ibadan,122,7,3,51,1,1,1,3,1,1,60,114,50,9.8,16.2,1496.5,3741.25
TGX1951-3F,G27,IITA_Ibadan,123,7,3,51,1,1,1,3,1,1,75,114,71,9,14.7,898.5,2246.25
TGx1987-9FxTGx1835-10E-1-2-2-1-1,G7,IITA_Ibadan,124,7,3,53,1,1,1,2.5,1.5,1,52,114,50,9.1,16.3,838.2,2095.5
TGx1989-11FxTGx1987-10F-1-1-3-1-3-I,G4,IITA_Ibadan,125,7,3,53,1,1,1,2.5,2,1,87,114,50,9.3,12.8,1159.8,2899.5
Panaroma-3,G16,IITA_Ibadan,126,8,3,53,1,1,1,3.5,1,1,88,115,56,8.9,13.9,1135.3,2838.25
TGx1989-19FxTGx1987-10F-5-3-1-2-2-I,G10,IITA_Ibadan,127,8,3,47,1,1,1,2.5,2,1,63,114,50,9.1,14.3,1598,3995
(TGx1740-2F/MW1)-#F6-2002-10-15,G29,IITA_Ibadan,128,8,3,47,1,1,1,1,2,1,59,111,58,9,19.2,1025.2,2563.13
(TGx1740-2F/MW1)-#F6-2002-10-28,G31,IITA_Ibadan,129,8,3,51,1,1,1,2.5,2,1,61,109,27,9.2,15.9,962.4,2406
(TGx1987-10F/TGx1740-2F)-#F5-1011-6,G40,IITA_Ibadan,130,8,3,51,1,1,1,2,2,1,69,109,53,8.9,15.8,1535.3,3838.25
Panaroma-1,G18,IITA_Ibadan,131,9,3,47,1,1,1,2,1,1,83,114,7,9.7,14.4,450.4,1126
TGx2029-27F,G39,IITA_Ibadan,132,9,3,46,1,1,1,3,1.5,1,84,115,40,9.5,12.3,879.2,2198
SC-SIGNA,G24,IITA_Ibadan,133,9,3,47,1,1,1,2,1.5,1,94,115,45,8.8,16.2,1409.4,3523.5
TGx 1448-2E,G35,IITA_Ibadan,134,9,3,47,1,1,1,3.5,3,1,67,115,17,8.1,13.2,660.2,1650.5
(TGx1830-20E/UG5)-#F6-2014-27-6,G33,IITA_Ibadan,135,9,3,47,1,1,1,3,2,1,70,115,53,8.9,16,659,1647.5
Maksoy-4N,G44,IITA_Ikenne,1,1,1,,1,1,1,5,3,1,98,124,77,8.7,14.4,1358.6,3396.5
(TGx1740-2F/MW1)-#F6-2002-10-15,G29,IITA_Ikenne,2,1,1,,1,1,1,3,2,1,66,124,51,10,16.3,1000.9,2502.25
Panaroma-1,G18,IITA_Ikenne,3,1,1,,1,1,1,3,1.5,1,96,124,47,10.4,12.7,942.5,2356.25
TGx 1989-19F,G36,IITA_Ikenne,4,1,1,,1,1,1,3,2,1,72,124,67,8.9,15.8,1553,3882.5
