State,Villages,Accession,Accesion,Emmergence,PH,NL,LL,LW,NS,SSTL
Ketou,Sodji,A20,O-A-S stolon  29,,,,,,,
Oueme,Hounvigue,A21,O-A-S stolon  30,,,,,,,
Zou,Hounvigue,A21,O-A-S stolon  30,,,,,,,
Ketou,Hounvigue,A21,O-A-S stolon  30,,,,,,,
Oueme,Adjohoun,A21,O-A-S stolon  30,,,,,,,
Zou,Adjohoun,A21,O-A-S stolon  30,,,,,,,
Ketou,Adjohoun,A21,O-A-S stolon  30,,,,,,,
Oueme,Zounnou,A21,O-A-S stolon  30,,,,,,,
Zou,Zounnou,A21,O-A-S stolon  30,,,,,,,
Ketou,Zounnou,A21,O-A-S stolon  30,,,,,,,
Oueme,Sodji,A21,O-A-S stolon  30,,,,,,,
Zou,Sodji,A21,O-A-S stolon  30,,,,,,,
Ketou,Sodji,A21,O-A-S stolon  30,,,,,,,
Oueme,Hounvigue,A22,O-A-S stolon  31,,,,,,,
Zou,Hounvigue,A22,O-A-S stolon  31,,,,,,,
Ketou,Hounvigue,A22,O-A-S stolon  31,,,,,,,
Oueme,Adjohoun,A22,O-A-S stolon  31,,,,,,,
Zou,Adjohoun,A22,O-A-S stolon  31,,,,,,,
Ketou,Adjohoun,A22,O-A-S stolon  31,,,,,,,
Oueme,Zounnou,A22,O-A-S stolon  31,,,,,,,
Zou,Zounnou,A22,O-A-S stolon  31,,,,,,,
Ketou,Zounnou,A22,O-A-S stolon  31,,,,,,,
Oueme,Sodji,A22,O-A-S stolon  31,,,,,,,
Zou,Sodji,A22,O-A-S stolon  31,,,,,,,
Ketou,Sodji,A22,O-A-S stolon  31,,,,,,,
Oueme,Hounvigue,A23,O-A-S stolon  32,,,,,,,
Zou,Hounvigue,A23,O-A-S stolon  32,,,,,,,
Ketou,Hounvigue,A23,O-A-S stolon  32,,,,,,,
Oueme,Adjohoun,A23,O-A-S stolon  32,,,,,,,
Zou,Adjohoun,A23,O-A-S stolon  32,,,,,,,
Ketou,Adjohoun,A23,O-A-S stolon  32,,,,,,,
Oueme,Zounnou,A23,O-A-S stolon  32,,,,,,,
Zou,Zounnou,A23,O-A-S stolon  32,,,,,,,
Ketou,Zounnou,A23,O-A-S stolon  32,,,,,,,
Oueme,Sodji,A23,O-A-S stolon  32,,,,,,,
Zou,Sodji,A23,O-A-S stolon  32,,,,,,,
Ketou,Sodji,A23,O-A-S stolon  32,,,,,,,
Oueme,Hounvigue,A24,O-A-S corm  33,,,,,,,
Zou,Hounvigue,A24,O-A-S corm  33,,,,,,,
Ketou,Hounvigue,A24,O-A-S corm  33,,,,,,,
Oueme,Adjohoun,A24,O-A-S corm  33,,,,,,,
Zou,Adjohoun,A24,O-A-S corm  33,,,,,,,
Ketou,Adjohoun,A24,O-A-S corm  33,,,,,,,
Oueme,Zounnou,A24,O-A-S corm  33,,,,,,,
Zou,Zounnou,A24,O-A-S corm  33,,,,,,,
Ketou,Zounnou,A24,O-A-S corm  33,,,,,,,
Oueme,Sodji,A24,O-A-S corm  33,,,,,,,
Zou,Sodji,A24,O-A-S corm  33,,,,,,,
Ketou,Sodji,A24,O-A-S corm  33,,,,,,,
Oueme,Hounvigue,A25,O-A-S corm  34,,,,,,,
Zou,Hounvigue,A25,O-A-S corm  34,,,,,,,
Ketou,Hounvigue,A25,O-A-S corm  34,,,,,,,
Oueme,Adjohoun,A25,O-A-S corm  34,,,,,,,
Zou,Adjohoun,A25,O-A-S corm  34,,,,,,,
Ketou,Adjohoun,A25,O-A-S corm  34,,,,,,,
Oueme,Zounnou,A25,O-A-S corm  34,,,,,,,
Zou,Zounnou,A25,O-A-S corm  34,,,,,,,
Ketou,Zounnou,A25,O-A-S corm  34,,,,,,,
Oueme,Sodji,A25,O-A-S corm  34,,,,,,,
Zou,Sodji,A25,O-A-S corm  34,,,,,,,
Ketou,Sodji,A25,O-A-S corm  34,,,,,,,
Oueme,Hounvigue,A26,O-A-S corm  35,,,,,,,
Zou,Hounvigue,A26,O-A-S corm  35,,,,,,,
Ketou,Hounvigue,A26,O-A-S corm  35,,,,,,,
Oueme,Adjohoun,A26,O-A-S corm  35,,,,,,,
Zou,Adjohoun,A26,O-A-S corm  35,,,,,,,
Ketou,Adjohoun,A26,O-A-S corm  35,,,,,,,
Oueme,Zounnou,A26,O-A-S corm  35,,,,,,,
Zou,Zounnou,A26,O-A-S corm  35,,,,,,,
Ketou,Zounnou,A26,O-A-S corm  35,,,,,,,
Oueme,Sodji,A26,O-A-S corm  35,,,,,,,
Zou,Sodji,A26,O-A-S corm  35,,,,,,,
Ketou,Sodji,A26,O-A-S corm  35,,,,,,,
Oueme,Hounvigue,A27,O-A-S corm  36,,,,,,,
Zou,Hounvigue,A27,O-A-S corm  36,,,,,,,
Ketou,Hounvigue,A27,O-A-S corm  36,,,,,,,
Oueme,Adjohoun,A27,O-A-S corm  36,,,,,,,
Zou,Adjohoun,A27,O-A-S corm  36,,,,,,,
Ketou,Adjohoun,A27,O-A-S corm  36,,,,,,,
Oueme,Zounnou,A27,O-A-S corm  36,,,,,,,
Zou,Zounnou,A27,O-A-S corm  36,,,,,,,
Ketou,Zounnou,A27,O-A-S corm  36,,,,,,,
Oueme,Sodji,A27,O-A-S corm  36,,,,,,,
Zou,Sodji,A27,O-A-S corm  36,,,,,,,
Ketou,Sodji,A27,O-A-S corm  36,,,,,,,
Oueme,Hounvigue,A28,O-A-S corm  37,,,,,,,
Zou,Hounvigue,A28,O-A-S corm  37,,,,,,,
Ketou,Hounvigue,A28,O-A-S corm  37,,,,,,,
Oueme,Adjohoun,A28,O-A-S corm  37,,,,,,,
Zou,Adjohoun,A28,O-A-S corm  37,,,,,,,
Ketou,Adjohoun,A28,O-A-S corm  37,,,,,,,
Oueme,Zounnou,A28,O-A-S corm  37,,,,,,,
Zou,Zounnou,A28,O-A-S corm  37,,,,,,,
Ketou,Zounnou,A28,O-A-S corm  37,,,,,,,
Oueme,Sodji,A28,O-A-S corm  37,,,,,,,
Zou,Sodji,A28,O-A-S corm  37,,,,,,,
Ketou,Sodji,A28,O-A-S corm  37,,,,,,,
Oueme,Hounvigue,A29,Z-D-Z stolon 21,,,,,,,
Zou,Hounvigue,A29,Z-D-Z stolon 21,,,,,,,
Ketou,Hounvigue,A29,Z-D-Z stolon 21,,,,,,,
Oueme,Adjohoun,A29,Z-D-Z stolon 21,,,,,,,
Zou,Adjohoun,A29,Z-D-Z stolon 21,,,,,,,
Ketou,Adjohoun,A29,Z-D-Z stolon 21,,,,,,,
Oueme,Zounnou,A29,Z-D-Z stolon 21,,,,,,,
Zou,Zounnou,A29,Z-D-Z stolon 21,,,,,,,
Ketou,Zounnou,A29,Z-D-Z stolon 21,,,,,,,
Oueme,Sodji,A29,Z-D-Z stolon 21,,,,,,,
Zou,Sodji,A29,Z-D-Z stolon 21,,,,,,,
Ketou,Sodji,A29,Z-D-Z stolon 21,,,,,,,
Oueme,Hounvigue,A30,P-K-S stolon 13,,,,,,,
Zou,Hounvigue,A30,P-K-S stolon 13,,,,,,,
Ketou,Hounvigue,A30,P-K-S stolon 13,,,,,,,
Oueme,Adjohoun,A30,P-K-S stolon 13,,,,,,,
Zou,Adjohoun,A30,P-K-S stolon 13,,,,,,,
Ketou,Adjohoun,A30,P-K-S stolon 13,,,,,,,
Oueme,Zounnou,A30,P-K-S stolon 13,,,,,,,
Zou,Zounnou,A30,P-K-S stolon 13,,,,,,,
Ketou,Zounnou,A30,P-K-S stolon 13,,,,,,,
Oueme,Sodji,A30,P-K-S stolon 13,,,,,,,
Zou,Sodji,A30,P-K-S stolon 13,,,,,,,
Ketou,Sodji,A30,P-K-S stolon 13,,,,,,,
